id,created_at,updated_at,name,type,description,location,website,phone,email,logo_url,banner_url,specialties,license_number,accreditation,established_year,size,verified,admin_user_id,about,short_description,short_tagline,theme_color,social_media_links
02d9c9b9-7c28-42c6-be2f-cef672ee750a,2025-09-21 19:50:40.131343+00,2025-09-21 19:50:40.056+00,dffvd,hospital,,dfv,,,,,,[],,[],2002,small,false,443d140e-7259-4ce0-ac05-a7bd0091d048,,,,#007fff,
0e21040c-904f-44d1-a8d5-e97031c17008,2025-09-21 20:12:21.914345+00,2025-09-21 20:12:21.835+00,,hospital,,,,,,,,[],,[],,small,false,443d140e-7259-4ce0-ac05-a7bd0091d048,,,,#007fff,
0efdba6c-6193-469f-82bc-fcc4b49ef5ce,2025-09-21 20:21:22.858693+00,2025-09-21 20:21:22.784+00,sas,medical_device,,sadsa,,,,,,[],,[],1998,medium,false,443d140e-7259-4ce0-ac05-a7bd0091d048,,,,#007fff,
1083512b-573a-422d-8f76-410d15aa23f4,2025-07-30 18:17:14.554484+00,2025-07-30 18:17:14.554484+00,Pfizer Inc.,pharmaceutical,Global pharmaceutical company,"New York, NY",,,,,,"[""Drug Development"",""Clinical Research""]",,,,,true,,,,,#007fff,
13cfe84d-b56a-40b8-a301-2914b6a4eb7b,2025-09-21 06:28:25.687713+00,2025-09-21 06:28:24.861+00,columbia,hospital,vvvvvvv,bangalore,,,,,,"[""Emergency""]",,"[""NSH""]",1990,medium,false,7b96162e-59d8-40a7-893f-8226ab9febc9,,nnnnnnnn,,#007fff,
1ddc2c4c-94e0-415e-b6ee-6f2b20d6626b,2025-07-30 18:17:14.554484+00,2025-07-30 18:17:14.554484+00,Harvard Medical Research Center,research_center,Cutting-edge medical research facility,"Boston, MA",,,,,,"[""Medical Research"",""Clinical Trials""]",,,,,true,,,,,#007fff,
209f4218-61d3-4143-9286-907dbc227184,2025-09-21 20:20:58.792923+00,2025-09-21 20:20:58.718+00,sasad,hospital,,asd,,,,,,[],,[],,small,false,443d140e-7259-4ce0-ac05-a7bd0091d048,,,,#007fff,
29603e88-c376-468c-87af-d08531247b07,2025-09-21 06:24:06.643883+00,2025-09-21 06:24:05.727+00,,hospital,,,,,,,,[],,[],,small,false,7b96162e-59d8-40a7-893f-8226ab9febc9,,,,#007fff,
2a974269-fb7d-49e4-be69-e4067ba73178,2025-09-21 20:32:41.430055+00,2025-09-21 20:32:41.367+00,,hospital,,,,,,,,[],,[],,small,false,443d140e-7259-4ce0-ac05-a7bd0091d048,,,,#007fff,
39fdce4a-a3e6-416d-a7f2-fe679fc03748,2025-09-21 06:24:22.465215+00,2025-09-21 06:24:21.569+00,columbia,hospital,,bangalore,,,,,,[],,[],,small,false,7b96162e-59d8-40a7-893f-8226ab9febc9,,,,#007fff,
47830abd-4394-47bf-83ce-8d9841866c9a,2025-09-21 20:32:56.075489+00,2025-09-21 20:32:56.009+00,da,university,,zxc,,,,,,[],,[],2223,small,false,443d140e-7259-4ce0-ac05-a7bd0091d048,,,,#007fff,
4b02b01c-1601-4fe5-99e6-fc6762016df8,2025-09-21 20:33:00.241426+00,2025-09-21 20:33:00.172+00,da,university,dsfsfd,zxc,,,,,,[],,[],2223,small,false,443d140e-7259-4ce0-ac05-a7bd0091d048,,dsfsfd,,#007fff,
5502ac0c-56a6-4665-b372-75b375baa5d3,2025-09-21 20:21:25.529864+00,2025-09-21 20:21:25.451+00,sas,medical_device,dsds,sadsa,,,,,,[],,[],1998,medium,false,443d140e-7259-4ce0-ac05-a7bd0091d048,,dsds,,#007fff,
64211b7e-3241-4064-992f-005a2e8e0baf,2025-09-21 06:28:58.847618+00,2025-09-21 06:28:58.043+00,columbia,hospital,vvvvvvv,bangalore,www.atriium.com,8951441151,atriium@yahoo.com,,,"[""Emergency""]",,"[""NSH""]",1990,medium,false,7b96162e-59d8-40a7-893f-8226ab9febc9,,nnnnnnnn,,#007fff,
6bbb537b-a2f2-4ef1-a391-4425a43c1850,2025-07-30 18:17:14.554484+00,2025-07-30 18:17:14.554484+00,Mayo Clinic,hospital,Leading healthcare provider with multiple specialties,"Rochester, MN",,,,,,"[""Internal Medicine"",""Surgery"",""Radiology""]",,,,,true,,,,,#007fff,
